Bedrooms,Bathrooms,Area_sqm,Price_monthly,Price_annualy,Furnished,Pool,Floor,Floor_type,Location,Description,Specialities
2,2,100.0,,,1,0,طابق رابع,Normal,"دير غبار,  عمان,  الأردن",2 غرف نوم (1 ماستر) - 2 حمامات - غرفة معيشة - مطبخ - بلكونة,ارضيات بورسلان - تكييف مركزي - مطبخ راكب - خزائن بالحائط - ديكورات جبصين + خشبية + حجرية - حمامات معلقة - اباجورات كهربائية - شاور بوكس - مصعد - انارة مخفية - زجاج دبل - تشطيبات سوبر ديلوكس
3,3,130.0,,,1,0,طابق ثاني,,"الدوار السابع,  عمان,  الأردن",3 غرف نوم (1 ماستر) - حمام عدد 3 - غرفة معيشة - صالون - مطبخ - غرفة غسيل - مخزن - بلكونة - كراج,"تكييف وحدات - تدفئة - مطبخ - زجاج دبل - ارضيات بورسلان - ديكورات جبصين - خزائن بالحائط - مصعد - شاور بوكس - حمامات معلقة - انارة مخفية - ابواب امان - انارة مخفية - تشطيبات سوبر ديلوكس - تقع في منطقة هادئة السعر : 750 دينار اردني شهريا السعر : 7,500 دينار اردني سنويا"
4,4,350.0,,,0,0,طابق أرضي,Full Floor,"عبدون,  عمان,  الأردن",4 غرف نوم (1 ماستر) - 4 حمامات - صالون - غرف معيشه - مطبخ - ترس - حديقة - مخزن - غرفة خادمة وغرفة غسيل - كراج,
3,3,172.0,,,1,0,طابق أول,Normal,"حي الصحابة,  عمان,  الأردن",غرف نوم عدد 3 (1 ماستر) - حمامات عدد 3 - صالون - غرفة معيشه - صالون - مطبخ - بلكونة - مخزن - كراج,"السعر: 10,000 دينار اردني سنوي"
3,5,270.0,,,1,0,طابق ثالث,Normal,"الشميساني,  عمان,  الأردن",3 غرف نوم - 5 حمامات - غرفة معيشة - صالون - مخزن - غرفة خادمة وغرفة غسيل - مطبخ - بلكونة - كراج,مطبخ - ارضيات سيراميك + رخام - تكييف وحدات - تدفئة - خزائن بالحائط - زجاج دبل - خزائن بالحائط - تشطيبات سوبر ديلوكس - ديكورات جبصين - اباجورات كهربائية - شاور بوكس - انارة مخفية - مصعد - تقع في منطقة هادئة
2,2,104.0,,,1,0,طابق ثاني,Normal,"ضاحية الأمير راشد,  عمان,  الأردن",2 غرف نوم (1 ماستر) - 2 حمام - غرفة معيشه - مطبخ - بلكونة - مخزن - كراج,"السعر: 7,000 ديناراردني سنوي"
2,2,97.0,,,1,0,طابق أول,Normal,"الدوار الرابع,  عمان,  الأردن",2 غرف نوم - 2 حمامات - غرفة معيشة - مطبخ - غرفة غسيل - كراج,ارضيات بورسلان - تكييف مركزي - تدفئة مركزية - مطبخ راكب - خزائن بالحائط - ديكورات جبصين + خشبية + حجرية - اباجورات كهربائية - شاور بوكس - مصعد - انارة مخفية - زجاج دبل - تشطيبات سوبر ديلوكس
3,3,160.0,,,1,0,طابق ثاني,Normal,"مرج الحمام,  عمان,  الأردن",غرف نوم عدد 3 (1 ماستر) - حمامات عدد 3 - صالون - غرفة معيشة - مطبخ - بلكونة - مخزن - كراج,ارضيات بورسلان - ديكورات جبصين - وحدات تكييف - تأسيس تدفئة - خزائن بالحائط - اباجورات كهربائية - شاور بوكس - مصعد - ابواب امان - كاميرات مراقبة - انارة مخفية - زجاج دبل - تشطيبات ديلوكس
2,2,121.0,,,1,0,طابق أول,Normal,"الدوار الرابع,  عمان,  الأردن",غرف نوم ماستر عدد 2 - حمامات عدد 3 - غرفة معيشة - مطبخ - بلكونة - كراج - مخزن,ارضيات رخام + سيراميك - تكييف مركزي - تدفئة تحت البلاط على الغاز - مطبخ راكب - خزائن - ديكورات جبصين + خشبية - حمامات معلقة - اباجورات كهربائية - شاور بوكس - مصعد - كاميرات مراقبة - انارة مخفية - زجاج دبل - تشطيبات سوبر ديلوكس
1,2,110.0,,,1,0,روف,Normal,"ضاحية الأمير راشد,  عمان,  الأردن",غرفة نوم ماستر - حمام ndash; صالون ndash; غرفة معيشه - مطبخ ndash;بلكونة ndash; ترس - غرفة غسيل - مخزن - كراج,"السعر: 8,500 دينار اردني"
3,3,134.0,,,0,0,طابق شبه أرضي,Normal,"شارع المطار,  عمان,  الأردن",غرف نوم عدد 3 (1 ماستر) - حمامات عدد 3 - صالون - غرفة معيشه - مطبخ - بلكونة - ترس - مداخل عدد 2 - مخزن ndash; كراج,"السعر: 8,000 دينار اردني سنوي"
2,3,200.0,,,1,0,روف,Normal,"دير غبار,  عمان,  الأردن",2 نوم ماستر - حمامات عدد 3 - غرفة معيشة - صالون - ترس - غرفة غسيل وغرفة خادمة - مخزن - كراج,مطبخ راكب - أرضيات بورسلان - تكييف وحدات - تدفئة تحت البلاط - جاكوزي - خزائن بالحائط - زجاج دبل - تشطيبات سوبر ديلوكس - ديكورات خشب + جبصين + حجرية - حمامات معلقة - موقد - اباجورات كهرباء - شاور بوكس - ابوب امان - اضاءة مخفية - مصعد - تقع في منطقة هادئة
4,4,340.0,,,0,0,طابق أول,Normal,"الظهير,  عمان,  الأردن",غرف نوم عدد 4 (2 ماستر) - حمامات عدد 4 - صالون - غرفة معيشه - مطبخ - بلكونة عدد 3 - غرفة خادمة وغرفة غسيل - مخزن - كراج,ارضيات بورسلان - وحدات تكييف - تدفئة - خزائن بالحائط - ديكورات جبصين + خشبية + حجرية - اباجورات كهربائية - شاور بوكس - موقد - بئر ماء - مصعد - كاميرات مراقبة - انارة مخفية - زجاج دبل - تشطيبات ديلوكس
4,5,460.0,,,0,0,طابق أرضي,Full Floor,"خلدا,  عمان,  الأردن",4 غرف نوم (2 ماستر) - 5 حمامات - غرفة معيشة - 3 صالون - مطبخ - مخزن - غرفة غسيل - مداخل عدد 4 - ترس - حديقة - كراج - 2 مداخل,"السعر: 15,000 دينار اردني سنويا"
2,2,105.0,,,1,1,طابق ثالث,Normal,"شارع المطار,  عمان,  الأردن",غرف نوم عدد 2 (1 ماستر) - حمامات عدد 2 - غرفة معيشه - مطبخ - بلكونة - مخزن - كراج,مسبح مشترك - نادي رياضة - حمام تركي - سينما - ملاعب - خدمات حراسة و صيانة - خدمات قاعات - ارضيات بورسلان - تكييف مركزي - تدفئة على الغاز - خزائن بالحائط - ديكورات جبصين + خشبية + حجرية - حمامات معلقة - اباجورات كهربائية - شاور بوكس - موقد - بئر ماء - مصعد - ابواب امان - كاميرات مراقبة - انارة مخفية - زجاج دبل - تشطيبات سوبر ديلوكس
